Name,Tag,File,File Name,Long Name
 buildkite opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_buildkite_opened.svg,folder_type_buildkite_opened.svg,folder type buildkite opened
 sss,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sss.svg,file_type_sss.svg,file type sss
 db opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_db_opened.svg,folder_type_db_opened.svg,folder type db opened
 ovpn,File Format,https://wentin.github.io/vscode-icons/icons/file_type_ovpn.svg,file_type_ovpn.svg,file type ovpn
 reason,File Format,https://wentin.github.io/vscode-icons/icons/file_type_reason.svg,file_type_reason.svg,file type reason
 tslint,File Format,https://wentin.github.io/vscode-icons/icons/file_type_tslint.svg,file_type_tslint.svg,file type tslint
 nunjucks,File Format,https://wentin.github.io/vscode-icons/icons/file_type_nunjucks.svg,file_type_nunjucks.svg,file type nunjucks
 publisher,File Format,https://wentin.github.io/vscode-icons/icons/file_type_publisher.svg,file_type_publisher.svg,file type publisher
 images opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_images_opened.svg,folder_type_images_opened.svg,folder type images opened
 typescript official,File Format,https://wentin.github.io/vscode-icons/icons/file_type_typescript_official.svg,file_type_typescript_official.svg,file type typescript official
 sqlite,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sqlite.svg,file_type_sqlite.svg,file type sqlite
 light meteor,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_meteor.svg,folder_type_light_meteor.svg,folder type light meteor
 bloc,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_bloc.svg,folder_type_bloc.svg,folder type bloc
 volt,File Format,https://wentin.github.io/vscode-icons/icons/file_type_volt.svg,file_type_volt.svg,file type volt
 precommit,File Format,https://wentin.github.io/vscode-icons/icons/file_type_precommit.svg,file_type_precommit.svg,file type precommit
 json official opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_json_official_opened.svg,folder_type_json_official_opened.svg,folder type json official opened
 zig,File Format,https://wentin.github.io/vscode-icons/icons/file_type_zig.svg,file_type_zig.svg,file type zig
 powershell psm,File Format,https://wentin.github.io/vscode-icons/icons/file_type_powershell_psm.svg,file_type_powershell_psm.svg,file type powershell psm
 plantuml,File Format,https://wentin.github.io/vscode-icons/icons/file_type_plantuml.svg,file_type_plantuml.svg,file type plantuml
 zip2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_zip2.svg,file_type_zip2.svg,file type zip2
 vba,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vba.svg,file_type_vba.svg,file type vba
 github opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_github_opened.svg,folder_type_github_opened.svg,folder type github opened
 sbt,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sbt.svg,file_type_sbt.svg,file type sbt
 protobuf,File Format,https://wentin.github.io/vscode-icons/icons/file_type_protobuf.svg,file_type_protobuf.svg,file type protobuf
 pcl,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pcl.svg,file_type_pcl.svg,file type pcl
 php2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_php2.svg,file_type_php2.svg,file type php2
 sass,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sass.svg,file_type_sass.svg,file type sass
 robots,File Format,https://wentin.github.io/vscode-icons/icons/file_type_robots.svg,file_type_robots.svg,file type robots
 expo,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_expo.svg,folder_type_expo.svg,folder type expo
 node,File Format,https://wentin.github.io/vscode-icons/icons/file_type_node.svg,file_type_node.svg,file type node
 scilab,File Format,https://wentin.github.io/vscode-icons/icons/file_type_scilab.svg,file_type_scilab.svg,file type scilab
 vim,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vim.svg,file_type_vim.svg,file type vim
 reactjs,File Format,https://wentin.github.io/vscode-icons/icons/file_type_reactjs.svg,file_type_reactjs.svg,file type reactjs
 dependabot opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_dependabot_opened.svg,folder_type_dependabot_opened.svg,folder type dependabot opened
 openHAB,File Format,https://wentin.github.io/vscode-icons/icons/file_type_openHAB.svg,file_type_openHAB.svg,file type openHAB
 php3,File Format,https://wentin.github.io/vscode-icons/icons/file_type_php3.svg,file_type_php3.svg,file type php3
 razor,File Format,https://wentin.github.io/vscode-icons/icons/file_type_razor.svg,file_type_razor.svg,file type razor
 controller,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_controller.svg,folder_type_controller.svg,folder type controller
 db,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_db.svg,folder_type_db.svg,folder type db
 model,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_model.svg,folder_type_model.svg,folder type model
 light node opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_node_opened.svg,folder_type_light_node_opened.svg,folder type light node opened
 progress,File Format,https://wentin.github.io/vscode-icons/icons/file_type_progress.svg,file_type_progress.svg,file type progress
 sdlang,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sdlang.svg,file_type_sdlang.svg,file type sdlang
 cmake,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_cmake.svg,folder_type_cmake.svg,folder type cmake
 shell,File Format,https://wentin.github.io/vscode-icons/icons/file_type_shell.svg,file_type_shell.svg,file type shell
 redux,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_redux.svg,folder_type_redux.svg,folder type redux
 retext,File Format,https://wentin.github.io/vscode-icons/icons/file_type_retext.svg,file_type_retext.svg,file type retext
 server,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_server.svg,folder_type_server.svg,folder type server
 nsri-integrity,File Format,https://wentin.github.io/vscode-icons/icons/file_type_nsri-integrity.svg,file_type_nsri-integrity.svg,file type nsri-integrity
 pgsql,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pgsql.svg,file_type_pgsql.svg,file type pgsql
 mongodb,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mongodb.svg,folder_type_mongodb.svg,folder type mongodb
 xliff,File Format,https://wentin.github.io/vscode-icons/icons/file_type_xliff.svg,file_type_xliff.svg,file type xliff
 certificate opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_certificate_opened.svg,folder_type_certificate_opened.svg,folder type certificate opened
 tox,File Format,https://wentin.github.io/vscode-icons/icons/file_type_tox.svg,file_type_tox.svg,file type tox
 nginx opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_nginx_opened.svg,folder_type_nginx_opened.svg,folder type nginx opened
 helper,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_helper.svg,folder_type_helper.svg,folder type helper
 devcontainer,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_devcontainer.svg,folder_type_devcontainer.svg,folder type devcontainer
 vsix,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vsix.svg,file_type_vsix.svg,file type vsix
 nimble,File Format,https://wentin.github.io/vscode-icons/icons/file_type_nimble.svg,file_type_nimble.svg,file type nimble
 wxss,File Format,https://wentin.github.io/vscode-icons/icons/file_type_wxss.svg,file_type_wxss.svg,file type wxss
 reacttemplate,File Format,https://wentin.github.io/vscode-icons/icons/file_type_reacttemplate.svg,file_type_reacttemplate.svg,file type reacttemplate
 maven,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_maven.svg,folder_type_maven.svg,folder type maven
 qbs,File Format,https://wentin.github.io/vscode-icons/icons/file_type_qbs.svg,file_type_qbs.svg,file type qbs
 kubernetes opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_kubernetes_opened.svg,folder_type_kubernetes_opened.svg,folder type kubernetes opened
 expo opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_expo_opened.svg,folder_type_expo_opened.svg,folder type expo opened
 pdf2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pdf2.svg,file_type_pdf2.svg,file type pdf2
 unibeautify,File Format,https://wentin.github.io/vscode-icons/icons/file_type_unibeautify.svg,file_type_unibeautify.svg,file type unibeautify
 sass,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_sass.svg,folder_type_sass.svg,folder type sass
 rails,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rails.svg,file_type_rails.svg,file type rails
 rproj,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rproj.svg,file_type_rproj.svg,file type rproj
 robotframework,File Format,https://wentin.github.io/vscode-icons/icons/file_type_robotframework.svg,file_type_robotframework.svg,file type robotframework
 light electron,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_electron.svg,folder_type_light_electron.svg,folder type light electron
 velocity,File Format,https://wentin.github.io/vscode-icons/icons/file_type_velocity.svg,file_type_velocity.svg,file type velocity
 macos opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_macos_opened.svg,folder_type_macos_opened.svg,folder type macos opened
 css opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_css_opened.svg,folder_type_css_opened.svg,folder type css opened
 patch,File Format,https://wentin.github.io/vscode-icons/icons/file_type_patch.svg,file_type_patch.svg,file type patch
 q,File Format,https://wentin.github.io/vscode-icons/icons/file_type_q.svg,file_type_q.svg,file type q
 qmldir,File Format,https://wentin.github.io/vscode-icons/icons/file_type_qmldir.svg,file_type_qmldir.svg,file type qmldir
 source,File Format,https://wentin.github.io/vscode-icons/icons/file_type_source.svg,file_type_source.svg,file type source
 client,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_client.svg,folder_type_client.svg,folder type client
 slang,File Format,https://wentin.github.io/vscode-icons/icons/file_type_slang.svg,file_type_slang.svg,file type slang
 pddl,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pddl.svg,file_type_pddl.svg,file type pddl
 locale opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_locale_opened.svg,folder_type_locale_opened.svg,folder type locale opened
 interfaces,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_interfaces.svg,folder_type_interfaces.svg,folder type interfaces
 poedit,File Format,https://wentin.github.io/vscode-icons/icons/file_type_poedit.svg,file_type_poedit.svg,file type poedit
 debian,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_debian.svg,folder_type_debian.svg,folder type debian
 package,File Format,https://wentin.github.io/vscode-icons/icons/file_type_package.svg,file_type_package.svg,file type package
 tcl,File Format,https://wentin.github.io/vscode-icons/icons/file_type_tcl.svg,file_type_tcl.svg,file type tcl
 aws,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_aws.svg,folder_type_aws.svg,folder type aws
 script opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_script_opened.svg,folder_type_script_opened.svg,folder type script opened
 tfs,File Format,https://wentin.github.io/vscode-icons/icons/file_type_tfs.svg,file_type_tfs.svg,file type tfs
 postcss,File Format,https://wentin.github.io/vscode-icons/icons/file_type_postcss.svg,file_type_postcss.svg,file type postcss
 npm,File Format,https://wentin.github.io/vscode-icons/icons/file_type_npm.svg,file_type_npm.svg,file type npm
 ruby,File Format,https://wentin.github.io/vscode-icons/icons/file_type_ruby.svg,file_type_ruby.svg,file type ruby
 yarn,File Format,https://wentin.github.io/vscode-icons/icons/file_type_yarn.svg,file_type_yarn.svg,file type yarn
 asset opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_asset_opened.svg,folder_type_asset_opened.svg,folder type asset opened
 stylus,File Format,https://wentin.github.io/vscode-icons/icons/file_type_stylus.svg,file_type_stylus.svg,file type stylus
 xml,File Format,https://wentin.github.io/vscode-icons/icons/file_type_xml.svg,file_type_xml.svg,file type xml
 smarty,File Format,https://wentin.github.io/vscode-icons/icons/file_type_smarty.svg,file_type_smarty.svg,file type smarty
 spacengine,File Format,https://wentin.github.io/vscode-icons/icons/file_type_spacengine.svg,file_type_spacengine.svg,file type spacengine
 rehype,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rehype.svg,file_type_rehype.svg,file type rehype
 gradle,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_gradle.svg,folder_type_gradle.svg,folder type gradle
 perl2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_perl2.svg,file_type_perl2.svg,file type perl2
 phpunit,File Format,https://wentin.github.io/vscode-icons/icons/file_type_phpunit.svg,file_type_phpunit.svg,file type phpunit
